dept_id,department
29241,William Bishop Owen Schol Acad
46391,George Henry Corliss HS
22261,James Blaine Elem
25331,Arnold Mireles Academy
22491,Milton Brunson Math & Sci
29371,Albert R Sabin Magnet School
26281,Henry O Tanner School
25441,Spencer Technology Acad
23431,Nathanael Greene School
22031,Tubman Elem School
22701,Salmon Chase School
25871,A N Pritzker School
23961,Joseph Jungman School
25041,George M Pullman School
49031,Southside Occupational Academy
25941,Carrie Jacobs Bond Elem
29151,Maria Saucedo Scholastic Acad
49101,Ray Graham Training Center
41051,Michele Clark Academic Prep
31081,Stephen F Gale Comm Academy
22511,Caldwell Acad of Math & Sci
25101,Frank W Reilly School
20071,Columbia Explorers Academy
26621,Charles H Wacker School
46041,Bogan HS
29341,Jensen Scholastic Academy
23671,Phoebe Apperson Hearst School
46191,Kelvyn Park High School
25621,George W Tilton School
23011,John B Drake School
23221,John Fiske School
22901,Charles Gates Dawes School
22481,John Burroughs Elem
22351,William Brown Elem
23071,Edgebrook School
31121,Thomas A Hendricks Comm Acad
23391,Alexander Graham School
25711,James Wadsworth School
24051,Lazaro Cardenas Elem
24881,Washington Irving School
25841,Eli Whitney School
26731,Barbara Vick EC & Fam Ct
24601,Mount Vernon School
25571,George B Swift Specialty Schoo
23351,Jesse Owens Elem Comm Academy
22131,Alice Barnard Comp-Math-Sci
32081,Ashburn Community Area School
23441,John Gregory School
25991,Joseph Brennemann Elem
70241,Alcott College Prep HS
23801,William G Hibbard School
24131,Wendell E Green School
24421,George B McClellan School
24621,John B Murphy School
32021,Lionel Hamptn Fin/Perf Art Sch
29131,Hawthorne Scholastic Academy
23241,Fort Dearborn School
23561,Bret Harte School
26431,Edward H White School
25391,Theophilus Schmid School
22431,Burnham Elem Inclusive Acad
25751,James Ward School
31061,Ralph H Metcalfe Com Acad Sch
25111,Peter A Reinberg School
25931,Ludwig van Beethoven Elem
24311,George Manierre School
29291,Stone Scholastic Academy
26771,Belmont-Cragin Elem
26191,Arthur Ashe Elem
41121,Northwest Middle School
23411,Josefa Ortiz De Dominguez Sch
30101,Salazar Bilingual Center Elem
29251,Pershing Humanities Magnet
22721,Frederic Chopin School
23921,Friedrich L Jahn School
25861,John Greenleaf Whittier School
24981,Ambrose Plamondon School
29051,Leif Ericson Scholastic Academ
23501,Alexander Hamilton School
22191,George Rogers Clark School
23721,Charles R Henderson School
26701,Fairfield Academy
24791,James Otis School
23551,Sharon Christa Mcauliffe Schoo
24511,Ellen Mitchell School
31151,Charles Kozminski Com Acad
29031,Stephen Decatur Classical Scho
25911,Richard Yates School
31141,Pilsen Community Academy
22221,Hiram Belding Elem
30071,Blair Early Childhood Center
23731,Patrick Henry School
26201,John T Mccutcheon School
26351,Genevieve Melody School
26441,Amelia Earhart Opt for Know Sc
30081,Frederick Stock School
29231,Walter L Newberry Mth/Sci Acd
22151,Clara Barton Elem
30121,Wilma G Rudolph Learning Cente
23791,Agustin Lara Academy
26321,Benjamin E Mays Academy
24371,Michael Faraday School
25491,Dunne Technology Acad
24651,Jane A Neil School
26061,Jackie R Robinson School
22651,George Cassell Elem
11672,Diverse Lrn Pupil Pers Service
31101,Ninos Heroes Academic Center
25811,Daniel S Wentworth School
41041,Francisco I Madero Mid School
23511,John H Hamline School
26421,Mary E Mcdowell School
22641,Ira Aldridge Elem
25761,Joseph Warren School
24551,Bernhard Moos School
22361,Charles Brownell Elem
53111,Manley Career Academy
23141,Edward Everett School
46491,Bowen High School
31301,Claremont Academy
23881,Cuffe Math Sci Tech Acad
55171,Greater Lawndale HS Social Jus
55151,"Infinity Mth, Sci and Tech HS"
55191,Bronzeville Schol Acad HS
55181,Multicultural Arts High School
55161,Williams Prep Schl of Medicine
55011,Phoenix Military Academy
25671,Lavizzo School
29211,Annie Keller Reg Gifted Center
26751,Johnnie Colemon School
23631,Woodlawn Community
22071,New Field School
22621,Carver Primary
24811,Wells Preparatory School
46481,Chicago Academy High School
26371,MLK Academy of Social Justice
26461,Evergreen Academy School
26821,Calmeca Acad of Arts & Dual Lg
46461,Spry Community Links HS
32031,National Teachers Academy
45221,Rickover Naval Acad
46471,Al Raby High School
22951,Dewey Academy of Fine Arts
29111,Randolph Elem
53071,Westinghouse College Prep
12670,City Wide Education General
11880,City Wide Facility Ops & Maint
23771,Theodore Herzl School
11940,School Transportation CW
12050,Nutrition Support Services CW
12410,Accounting
53121,Edward Tilden Career Comm Acad
25061,Ravenswood School
11890,CPS Warehouse
11540,City Wide Lang & Culture
66281,Chicago Math & Science Chtr
14050,Ofc of Student Hlth & Wellness
23641,Wendell Smith School
10615,CW Safety and Security
24781,Brian Piccolo School
26521,Amos A Stagg School
23271,Melville W Fuller School
10610,Safety & Security
24341,Marquette School
24011,Pablo Casals Elem
12610,Budget and Management Office
52011,World Language Academy
26791,Tarkington School of Excellenc
26861,Uplift Community High School
26881,Suder Montessori Magnet School
66351,ASPIRA - Haugan Middle
66321,U of C Chrt-Donoghue Campus
66151,Alain Locke Charter School
46521,Devry University Adv Academy
26891,Velma Thomas Early Child Ctr
12510,Information & Technology Svcs
10210,Law Office
11010,Talent Office
10760,Student Protections/Title IX
11201,Access and Enrollment
10110,Board of Trustees
10430,Internal Audit & Compliance
15010,School Support Center CW
12210,Procurement and Contracts
12010,Nutrition Support Services
10910,LSC Relations
5261,Department of JROTC
10320,Inspector General
11360,Early Childhood Development
12430,Accounts Payable
10510,Communications Office
11610,Diverse Learner Supt&Svcs
11870,Student Transportation
12625,CW - Grant Funded Pgms Office
12450,Payroll Services
25341,William T Sherman Sch of Excel
12440,Treasury
11910,Real Estate
12460,Risk Management
29411,Frazier Prospective IB Magnet
46621,Austin College and Career Acad
23581,John Harvard Elem Sch of Excel
12150,City Wide Capital Operations
26901,Frazier Preparatory Academy
49131,Collins Academy High School
66254,ASPIRA - Early College
29101,LaSalle II Magnet
29391,Davis Magnet School
23281,Robert Fulton School
12280,Business Diversity
26921,Disney II Magnet School
28151,Orr Academy
26091,Morton School of Excellence
23851,Julia Ward Howe School
28081,Edison Park Elementary School
11510,Language & Cultural Education
11860,Facility Operations & Maint
15500,Planning and Data Management
22841,Anna R. Langford Comm Acad
46151,Harper High School
26141,Dulles Elem
63011,Global Citizenship School
26541,Carter G Woodson South
14060,Family & Community Engagement
45231,Air Force Academy
22441,Irene C. Hernandez Middle Schl
22251,South Shore Fine Arts Academy
26231,Johnson Elem
22591,Skinner North
22581,Dr. Jorge Prieto Math & Sci Ac
22451,Hughes Elem
